Airport Code(Deprt.),Tail Number,Departure Date
PHL,526,12/27/2017
BWI,526,12/28/2017
BOS,526,12/29/2017
BWI,526,12/30/2017
BOS,526,12/31/2017
BWI,527,12/1/2017
EWR,527,12/2/2017
IAH,527,12/3/2017
LAS,527,12/4/2017
ORD,527,12/5/2017
BWI,527,12/6/2017
IAH,527,12/7/2017
LAS,527,12/8/2017
MSY,527,12/9/2017
IAH,527,12/10/2017
LAS,527,12/11/2017
IAH,527,12/12/2017
LAS,527,12/13/2017
TPA,527,12/14/2017
PIT,527,12/15/2017
LAX,527,12/16/2017
PHL,527,12/17/2017
BWI,527,12/18/2017
CAK,527,12/19/2017
MCO,527,12/20/2017
MCO,527,12/21/2017
ORD,527,12/22/2017
DFW,527,12/23/2017
DFW,527,12/24/2017
DTW,527,12/25/2017
MCO,527,12/26/2017
ORD,527,12/27/2017
ORD,527,12/28/2017
BWI,527,12/29/2017
IAH,527,12/30/2017
ORD,527,12/31/2017
LAS,528,12/1/2017
TPA,528,12/2/2017
PIT,528,12/3/2017
PHX,528,12/4/2017
ACY,528,12/5/2017
SAN,528,12/6/2017
PHL,528,12/7/2017
BWI,528,12/8/2017
BWI,528,12/9/2017
EWR,528,12/10/2017
IAH,528,12/11/2017
LAS,528,12/12/2017
TPA,528,12/13/2017
PIT,528,12/14/2017
LAX,528,12/15/2017
PHL,528,12/16/2017
ACY,528,12/17/2017
LAX,528,12/18/2017
FLL,528,12/19/2017
FLL,528,12/20/2017
LAS,528,12/21/2017
EWR,528,12/22/2017
CAK,528,12/23/2017
MCO,528,12/24/2017
ORD,528,12/25/2017
DFW,528,12/26/2017
DFW,528,12/27/2017
DTW,528,12/28/2017
MCO,528,12/29/2017
MCO,528,12/30/2017
BWI,528,12/31/2017
BOS,529,12/1/2017
BWI,529,12/2/2017
SAN,529,12/3/2017
PHL,529,12/4/2017
IAH,529,12/5/2017
FLL,529,12/6/2017
FLL,529,12/7/2017
BOS,529,12/8/2017
ACY,529,12/9/2017
SAN,529,12/10/2017
PHL,529,12/11/2017
BWI,529,12/12/2017
BWI,529,12/13/2017
EWR,529,12/14/2017
IAH,529,12/15/2017
LAS,529,12/16/2017
TPA,529,12/17/2017
LAS,529,12/18/2017
TPA,529,12/19/2017
PIT,529,12/20/2017
LAX,529,12/21/2017
PHL,529,12/22/2017
SAN,529,12/23/2017
PHL,529,12/24/2017
PHL,529,12/25/2017
IAG,529,12/26/2017
ACY,529,12/27/2017
MCO,529,12/28/2017
MCO,529,12/29/2017
MSY,529,12/30/2017
LAS,529,12/31/2017
BWI,530,12/1/2017
BOS,530,12/2/2017
BWI,530,12/3/2017
BWI,530,12/4/2017
EWR,530,12/5/2017
MCO,530,12/6/2017
CAK,530,12/7/2017
MCO,530,12/8/2017
ORD,530,12/9/2017
DFW,530,12/10/2017
DTW,530,12/11/2017
MCO,530,12/12/2017
ORD,530,12/13/2017
BWI,530,12/14/2017
CAK,530,12/15/2017
MCO,530,12/16/2017
FLL,530,12/17/2017
ORD,530,12/18/2017
DFW,530,12/19/2017
DFW,530,12/20/2017
DFW,530,12/21/2017
DFW,530,12/22/2017
DFW,530,12/23/2017
DTW,530,12/24/2017
MCO,530,12/25/2017
ORD,530,12/26/2017
DFW,530,12/27/2017
DFW,530,12/28/2017
DTW,530,12/29/2017
MCO,530,12/30/2017
ORD,530,12/31/2017
BWI,531,12/1/2017
LAS,531,12/2/2017
TPA,531,12/3/2017
PIT,531,12/4/2017
FLL,531,12/5/2017
PHX,531,12/6/2017
ACY,531,12/7/2017
